"Abbrev","Full Title","Trnsl. Title","Publ.","Relat. Jrl.","ISSN","New","High Density","Book Ser","Video Ser","Bibl. Jrl."
"Bull. Symbolic Logic","Bulletin of Symbolic Logic","","Assoc. Symbol. Logic, Poughkeepsie, NY.","","1079-8986","N","N","N","N","N"
"Bull. TICMI","Bulletin. Tbilisi International Centre of Mathematics and Informatics","","Tbilisi Univ. Press, Tbilisi.","","1512-0082","N","N","N","N","N"
"Bull. Tokyo Gakugei Univ. Nat. Sci.","Bulletin of Tokyo Gakugei University. Natural Sciences","","Tokyo Gakugei Univ., Tokyo.","","1880-4330","N","N","N","N","N"
"Bull. Transilv. Univ. Brasov Ser. III","Bulletin of the Transilvania University of Brasov. Series III. Mathematics, Informatics, Physics","","Transilvania Univ. Press, Brasov.","","2065-2151","N","N","N","N","N"
"Bull. Univ. Electro-Comm.","Bulletin of the University of Electro-Communications","","Univ. Electro-Comm., Tokyo.","","0915-0935","N","N","N","N","N"
"Bull. Yamagata Univ. Natur. Sci.","Bulletin of Yamagata University. Natural Science","","Yamagata Univ., Yamagata.","","0513-4692","N","N","N","N","N"
"Butl. Soc. Catalana Mat.","Butlleti de la Societat Catalana de Matematiques","","Soc. Catalana Mat., Barcelona.","","0214-316X","N","N","N","N","N"
"C. R. Acad. Bulgare Sci.","Dokladi na Blgarskata Akademiya na Naukite. Comptes Rendus de l'Academie Bulgare des Sciences","","Publ. House Bulgar. Acad. Sci., Sofia.","","1310-1331","N","N","N","N","N"
"C. R. Math. Acad. Sci. Paris","Comptes Rendus Mathematique. Academie des Sciences. Paris","","Elsevier Sci. B. V., Amsterdam.","","1631-073X","N","Y","N","N","N"
"C. R. Math. Acad. Sci. Soc. R. Can.","Comptes Rendus Mathematiques de l'Academie des Sciences. La Societe Royale du Canada. Mathematical Reports of the Academy of Science. The Royal Society of Canada","","Acad. Sci. R. Soc. Can., Ottawa, ON.","","0706-1994","N","Y","N","N","N"
"C.I.M.E. Summer Sch.","Centro Internazionale Matematico Estivo (C.I.M.E.) Summer Schools","","Springer, Heidelberg.","","","Y","N","Y","N","N"
"Cah. Phys.","Cahiers de Physique","Physics Texts","Presses Polytech. Univ. Romandes, Lausanne.","","","N","N","Y","N","N"
"Cah. Topol. Geom. Differ. Categ.","Cahiers de Topologie et Geometrie Differentielle Categoriques","","Univ. Picardie, Amiens.","","1245-530X","N","Y","N","N","N"
"Calc. Var. Partial Differential Equations","Calculus of Variations and Partial Differential Equations","","Springer, Heidelberg.","","0944-2669","N","Y","N","N","N"
"Calcolo","Calcolo. A Quarterly on Numerical Analysis and Theory of Computation","","Springer Italia, Milan.","","0008-0624","N","Y","N","N","N"
"Calcutta Statist. Assoc. Bull.","Calcutta Statistical Association Bulletin","","Calcutta Statist. Assoc., Calcutta.","","0008-0683","N","Y","N","N","N"
"Camb. Aerosp. Ser.","Cambridge Aerospace Series","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Camb. Companions Philos.","Cambridge Companions to Philosophy","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Camb. Introd. Philos.","Cambridge Introductions to Philosophy","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Camb. Monogr. Part. Phys. Nucl. Phys. Cosmol.","Cambridge Monographs on Particle Physics, Nuclear Physics and Cosmology","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Camb. Ser. Chem. Eng.","Cambridge Series in Chemical Engineering","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Camb. Ser. Stat. Probab. Math.","Cambridge Series in Statistical and Probabilistic Mathematics","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Camb. Stud. Adapt. Dyn.","Cambridge Studies in Adaptive Dynamics","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Camb. Texts Biomed. Eng.","Cambridge Texts in Biomedical Engineering","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Cambridge Math. Lib.","Cambridge Mathematical Library","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Cambridge Monogr. Appl. Comput. Math.","Cambridge Monographs on Applied and Computational Mathematics","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Cambridge Monogr. Math. Phys.","Cambridge Monographs on Mathematical Physics","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Cambridge Monogr. Mech.","Cambridge Monographs on Mechanics","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Cambridge Stud. Adv. Math.","Cambridge Studies in Advanced Mathematics","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Cambridge Stud. Probab. Induc. Decis. Theory","Cambridge Studies in Probability, Induction, and Decision Theory","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Cambridge Texts Appl. Math.","Cambridge Texts in Applied Mathematics","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Cambridge Tracts in Math.","Cambridge Tracts in Mathematics","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Cambridge Tracts Theoret. Comput. Sci.","Cambridge Tracts in Theoretical Computer Science","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Can. Appl. Math. Q.","Canadian Applied Mathematics Quarterly","","Appl. Math. Inst., Edmonton, AB.","","1073-1849","N","Y","N","N","N"
"Canad. J. Math.","Canadian Journal of Mathematics. Journal Canadien de Mathematiques","","Canadian Math. Soc., Ottawa, ON.","","0008-414X","N","Y","N","N","N"
"Canad. J. Statist.","The Canadian Journal of Statistics. La Revue Canadienne de Statistique","","Statist. Soc. Canada, Ottawa, ON.","","0319-5724","N","N","N","N","N"
"Canad. Math. Bull.","Canadian Mathematical Bulletin. Bulletin Canadien de Mathematiques","","Canadian Math. Soc., Ottawa, ON.","","0008-4395","N","Y","N","N","N"
"Caribbean J. Math. Comput. Sci.","Caribbean Journal of Mathematical and Computing Sciences","","Univ. West Indies, Bridgetown.","","1017-6764","N","Y","N","N","N"
"Carpathian J. Math.","Carpathian Journal of Mathematics","","N. Univ. Baia Mare, Baia Mare.","","1584-2851","N","Y","N","N","N"
"Carus Math. Monogr.","Carus Mathematical Monographs","","Math. Assoc. America, Washington, DC.","","","N","N","Y","N","N"
"CBMS Issues Math. Ed.","CBMS Issues in Mathematics Education","","Amer. Math. Soc., Providence, RI.","","1047-398X","N","N","Y","N","N"
"CBMS Reg. Conf. Ser. Math.","CBMS Regional Conference Series in Mathematics","","Amer. Math. Soc., Providence, RI.","","0160-7642","N","N","Y","N","N"
"CBMS-NSF Regional Conf. Ser. in Appl. Math.","CBMS-NSF Regional Conference Series in Applied Mathematics","","SIAM, Philadelphia, PA.","","","N","N","Y","N","N"
"CEJOR Cent. Eur. J. Oper. Res.","Central European Journal of Operations Research (CEJOR)","","Physica, Heidelberg.","","1435-246X","N","N","N","N","N"
"Celestial Mech. Dynam. Astronom.","Celestial Mechanics & Dynamical Astronomy. An International Journal of Space Dynamics","","Springer, Dordrecht.","","0923-2958","N","N","N","N","N"
"Cent. Eur. J. Math.","Central European Journal of Mathematics","","Versita, Warsaw.","","1895-1074","N","Y","N","N","N"
"Centaurus","Centaurus. An International Journal of the History of Science and its Cultural Aspects","","Wiley-Blackwell, Oxford.","","0008-8994","N","N","N","N","N"
"Chaos","Chaos. An Interdisciplinary Journal of Nonlinear Science","","Amer. Inst. Phys., Melville, NY.","","1054-1500","N","N","N","N","N"
"Chaos Solitons Fractals","Chaos, Solitons & Fractals","","Elsevier Ltd, Oxford.","","0960-0779","N","N","N","N","N"
"Chapman & Hall/CRC Appl. Algorithms Data Struct. Ser.","Chapman & Hall/CRC Applied Algorithms and Data Structures Series","","CRC Press, Boca Raton, FL.","","","N","N","Y","N","N"
"Chapman & Hall/CRC Appl. Environ. Stat.","Chapman & Hall/CRC Applied Environmental Statistics","","Chapman & Hall/CRC, Boca Raton, FL.","","","N","N","Y","N","N"
"Chapman & Hall/CRC Appl. Math. Nonlinear Sci. Ser.","Chapman & Hall/CRC Applied Mathematics and Nonlinear Science Series","","CRC Press, Boca Raton, FL.","","","N","N","Y","N","N"
"Chapman & Hall/CRC Biostat. Ser.","Chapman & Hall/CRC Biostatistics Series","","CRC Press, Boca Raton, FL.","","","N","N","Y","N","N"
"Chapman & Hall/CRC Comput. Inf. Sci. Ser.","Chapman & Hall/CRC Computer and Information Science Series","","Chapman & Hall/CRC, Boca Raton, FL.","","","N","N","Y","N","N"
"Chapman & Hall/CRC Comput. Sci. Ser.","Chapman & Hall/CRC Computational Science Series","","CRC Press, Boca Raton, FL.","","","N","N","Y","N","N"
"Chapman & Hall/CRC Cryptogr. Netw. Secur.","Chapman & Hall/CRC Cryptography and Network Security","","CRC Press, Boca Raton, FL.","","","N","N","Y","N","N"
"Chapman & Hall/CRC Data Min. Knowl. Discov. Ser.","Chapman & Hall/CRC Data Mining and Knowledge Discovery Series","","CRC Press, Boca Raton, FL.","","","N","N","Y","N","N"
"Chapman & Hall/CRC Financ. Math. Ser.","Chapman & Hall/CRC Financial Mathematics Series","","CRC Press, Boca Raton, FL.","","","N","N","Y","N","N"
"Chapman & Hall/CRC Finance Ser.","Chapman & Hall/CRC Finance Series","","CRC Press, Boca Raton, FL.","","","N","N","Y","N","N"
"Chapman & Hall/CRC Handb. Mod. Stat. Methods","Chapman & Hall/CRC Handbooks of Modern Statistical Methods","","CRC Press, Boca Raton, FL.","","","N","N","Y","N","N"
"Chapman & Hall/CRC Math.","Chapman & Hall/CRC Mathematics","","CRC Press, Boca Raton, FL.","","","N","N","Y","N","N"
"Chapman & Hall/CRC Math. Comput. Biol. Ser.","Chapman & Hall/CRC Mathematical and Computational Biology Series","","CRC Press, Boca Raton, FL.","","","N","N","Y","N","N"
"Chapman & Hall/CRC Monogr. Surv. Pure Appl. Math.","Chapman & Hall/CRC Monographs and Surveys in Pure and Applied Mathematics","","CRC Press, Boca Raton, FL.","","","N","N","Y","N","N"
"Chapman & Hall/CRC Numer. Anal. Sci. Comput.","Chapman & Hall/CRC Numerical Analysis and Scientific Computing","","CRC Press, Boca Raton, FL.","","","N","N","Y","N","N"
"Chapman & Hall/CRC Stud. Inform. Ser.","Chapman & Hall/CRC Studies in Informatics Series","","CRC Press, Boca Raton, FL.","","","N","N","Y","N","N"
"Chapman & Hall/CRC Texts Stat. Sci. Ser.","Chapman & Hall/CRC Texts in Statistical Science Series","","Chapman & Hall/CRC, Boca Raton, FL.","","","N","N","Y","N","N"
"Chebyshevskii Sb.","Chebyshevskii Sbornik","","Tul. Gos. Ped. Univ., Tula.","","","N","N","N","N","N"
"Chiang Mai J. Sci.","Chiang Mai Journal of Science","","Chiang Mai Univ., Chiang Mai.","","0125-2526","N","N","N","N","N"
"Chic. J. Theoret. Comput. Sci.","Chicago Journal of Theoretical Computer Science","","Univ. Chicago, Chicago, IL.","","1073-0486","N","Y","N","N","N"
"Chicago Lectures in Math.","Chicago Lectures in Mathematics","","Univ. Chicago Press, Chicago, IL.","","","N","N","Y","N","N"
"Chicago Lectures Phys.","Chicago Lectures in Physics","","Univ. Chicago Press, Chicago, IL.","","","N","N","Y","N","N"
"Chil. J. Stat.","Chilean Journal of Statistics","","Soc. Chil. Estadi, Santiago.","","0718-7912","Y","N","N","N","N"
"Chin. Ann. Math. Ser. B","Chinese Annals of Mathematics. Series B","","Chin. Ann. Math., Ed. Office, Shanghai.","","0252-9599","N","Y","N","N","N"
"Chin. J. Theor. Appl. Mech.","Chinese Journal of Theoretical and Applied Mechanics. Lixue Xuebao","","Chin. J. Theor. Appl. Mech. Press, Beijing.","","0459-1879","N","N","N","N","N"
"Chinese Ann. Math. Ser. A","Chinese Annals of Mathematics. Series A. Shuxue Niankan. A Ji","","Shanghai Sci. Tech. Lit., Shanghai.","Translated in Chinese J. Contemp. Math.","1000-8314","N","Y","N","N","N"
"Chinese J. Appl. Probab. Statist.","Chinese Journal of Applied Probability and Statistics. Yingyong Gailu Tongji","","East China Normal Univ. Press, Shanghai.","","1001-4268","N","N","N","N","N"
"Chinese J. Comput.","Chinese Journal of Computers. Jisuanji Xuebao","","Sci. Press Beijing, Beijing.","","0254-4164","N","N","N","N","N"
"Chinese J. Contemp. Math.","Chinese Journal of Contemporary Mathematics","","Allerton, New York.","Partial translation of Chinese Ann. Math. Ser. A","0898-5111","N","N","N","N","N"
"Chinese J. Engrg. Math.","","","","See Gongcheng Shuxue Xuebao","","N","N","N","N","N"
"Chinese J. Phys.","Chinese Journal of Physics","","Phys. Soc. Repub. China, Taipei.","","0577-9073","N","N","N","N","N"
"Chinese Quart. J. Math.","Chinese Quarterly Journal of Mathematics. Shuxue Jikan","","Chinese Q. J. Math., Editor. Board, Kaifeng.","","1002-0462","N","N","N","N","N"
"Cienc. Mat. (Havana)","Revista Ciencias Matematicas","","Univ. Habana, Havana.","","0256-5374","N","N","N","N","N"
"Cienc. Tecn.","Ciencia y Tecnologia. Revista de la Universidad de Costa Rica","","Editor. Univ. Costa Rica, San Jose.","","0378-052X","N","N","N","N","N"
"Circuits Systems Signal Process.","Circuits, Systems, and Signal Processing","","Birkhauser Boston, Cambridge, MA.","","0278-081X","N","N","N","N","N"
"CISM Courses and Lectures","CISM Courses and Lectures","","SpringerWienNewYork, Vienna.","","","N","N","Y","N","N"
"Classical Quantum Gravity","Classical and Quantum Gravity","","Inst. Phys., Bristol.","","0264-9381","N","N","N","N","N"
"Classics Appl. Math.","Classics in Applied Mathematics","","SIAM, Philadelphia, PA.","","","N","N","Y","N","N"
"Classics Math.","Classics in Mathematics","","Springer, Berlin.","","1431-0821","N","N","Y","N","N"
"Classr. Res. Mater. Ser.","Classroom Resource Materials Series","","Math. Assoc. America, Washington, DC.","","","N","N","Y","N","N"
"Clay Math. Monogr.","Clay Mathematics Monographs","","Amer. Math. Soc., Providence, RI.","","1539-6061","N","N","Y","N","N"
"Clay Math. Proc.","Clay Mathematics Proceedings","","Amer. Math. Soc., Providence, RI.","","1534-6455","N","N","Y","N","N"
"CMES Comput. Model. Eng. Sci.","CMES. Computer Modeling in Engineering & Sciences","","Tech Sci. Press, Duluth, GA.","","1526-1492","N","N","N","N","N"
"CMP","Current Mathematical Publications","","Amer. Math. Soc., Providence, RI.","","0361-4794","N","N","N","N","Y"
"CMS Books Math./Ouvrages Math. SMC","CMS Books in Mathematics/Ouvrages de Mathematiques de la SMC","","Springer, New York.","","1613-5237","N","N","Y","N","N"
"CMS Treatises Math.","CMS Treatises in Mathematics","","Canadian Math. Soc., Ottawa, ON.","","","N","N","Y","N","N"
"COE Lect. Note","COE Lecture Note","","Kyushu Univ. Fac. Math., Fukuoka.","","1881-4042","N","N","Y","N","N"
"Cogn. Technol.","Cognitive Technologies","","Springer, Heidelberg.","","1611-2482","Y","N","Y","N","N"
"Collana Inform.","Collana di Informatica","Computer Science Collection","Springer Italia, Milan.","","","Y","N","Y","N","N"
"Collana Quad. Inform.","Collana dei Quaderni di Informatica","Computer Science Collection","FrancoAngeli, Milan.","","","N","N","Y","N","N"
"Colleccio Homenatges","Colleccio Homenatges","Homages Collection","Publ. Ed. Univ. Barcelona, Barcelona.","","","N","N","Y","N","N"
"Collect. CERHAC","Collection CERHAC","","Presses Univ. Blaise-Pascal, Clermont-Ferrand.","","","N","N","Y","N","N"
"Collect. EDF R&D","Collection EDF R&D","","Ed. Tec & Doc, Paris.","","","N","N","Y","N","N"
"Collect. Hist. Pensee","Collection Histoire de la Pensee","History of Thought Collection","Hermann, Paris.","","","N","N","Y","N","N"
"Collect. Inform. (Paris)","Collection Informatique (Paris)","Data Processing Collection (Paris)","Hermes Sci. Publ./Lavoisier, Paris.","","1242-7691","N","N","Y","N","N"
"Collect. Ing. Lang.","Collection Ingenierie des Langues","Natural Language Processing Collection","Hermes/Lavoisier, Paris.","","","Y","N","Y","N","N"
"Collect. IRIS","Collection IRIS","IRIS Collection","Springer, Paris.","","","N","N","Y","N","N"
"Collect. Math.","Universitat de Barcelona. Collectanea Mathematica","","Univ. Barcelona, Barcelona.","Continued as Collect. Math.","0010-0757","N","Y","N","N","N"
"Collect. Math.","Collectanea Mathematica","","Springer Italia, Milan.","Formerly Collect. Math.","0010-0757","Y","Y","N","N","N"
"Collect. Methodes Stoch. Appl.","Collection Methodes Stochastiques Appliquees","Applied Stochastic Methods Collection","Hermes Sci. Publ./Lavoisier, Paris.","","","N","N","Y","N","N"
"Collect. Program. Contraintes","Collection Programmation par Contraintes","Constraint Programming Collection","Hermes/Lavoisier, Paris.","","1957-9349","Y","N","Y","N","N"
"Collect. Sci. Appl. INSA Lyon","Collection des Sciences Appliquees de l'INSA de Lyon","Applied Science Collection of INSA-Lyon","Presses Polytech. Univ. Romandes, Lausanne.","","","N","N","Y","N","N"
"Collect. Sci. Hist.","Collection Sciences dans l'Histoire","Science in History Collection","Lib. Sci. Tech. Albert Blanchard, Paris.","","1258-0996","N","N","Y","N","N"
"Collect. Stat. Probab. Appl.","Collection Statistiques et Probabilites Appliquees","Statistics and Applied Probability Collection","Springer-Verlag France, Paris.","","","N","N","Y","N","N"
"College Math. J.","The College Mathematics Journal","","Math. Assoc. America, Washington, DC.","","0746-8342","N","N","N","N","N"
"Colloq. Math.","Colloquium Mathematicum","","Inst. Math., Polish Acad. Sci., Warsaw.","","0010-1354","N","Y","N","N","N"
"Colloquia","Colloquia","Colloquium","Ed. Norm., Pisa.","","","N","N","Y","N","N"
"Comb. Optim. (Lond.)","Combinatorial Optimization (London)","","ISTE, London.","","","N","N","Y","N","N"
"Combin. Probab. Comput.","Combinatorics, Probability and Computing","","Cambridge Univ. Press, Cambridge.","","0963-5483","N","Y","N","N","N"
"Combinatorica","Combinatorica. An International Journal on Combinatorics and the Theory of Computing","","Janos Bolyai Math. Soc., Budapest.","","0209-9683","N","Y","N","N","N"
"Combust. Theory Model.","Combustion Theory and Modelling","","Taylor & Francis, Abingdon.","","1364-7830","N","N","N","N","N"
"Comm. Algebra","Communications in Algebra","","Taylor & Francis, Philadelphia, PA.","","0092-7872","N","Y","N","N","N"
"Comm. Anal. Geom.","Communications in Analysis and Geometry","","Int. Press, Somerville, MA.","","1019-8385","N","Y","N","N","N"
"Comm. Appl. Nonlinear Anal.","Communications on Applied Nonlinear Analysis","","Internat. Publ., Kingsville, TX.","","1074-133X","N","Y","N","N","N"
"Comm. Control Engrg. Ser.","Communications and Control Engineering Series","","Springer, Berlin.","","0178-5354","N","N","Y","N","N"
"Comm. Math. Phys.","Communications in Mathematical Physics","","Springer, Berlin.","","0010-3616","N","Y","N","N","N"
"Comm. Partial Differential Equations","Communications in Partial Differential Equations","","Taylor & Francis, Philadelphia, PA.","","0360-5302","N","Y","N","N","N"
"Comm. Pure Appl. Math.","Communications on Pure and Applied Mathematics","","Wiley, Hoboken, NJ.","","0010-3640","N","Y","N","N","N"
"Comm. Statist. Simulation Comput.","Communications in Statistics. Simulation and Computation","","Taylor & Francis, Philadelphia, PA.","","0361-0918","N","N","N","N","N"
"Comm. Statist. Theory Methods","Communications in Statistics. Theory and Methods","","Taylor & Francis, Philadelphia, PA.","","0361-0926","N","N","N","N","N"
"Comment. Math.","Commentationes Mathematicae. Annals of the Polish Mathematical Society. Series I","","Polsk. Tow. Mat., Warsaw.","","0373-8299","N","Y","N","N","N"
"Comment. Math. Helv.","Commentarii Mathematici Helvetici. A Journal of the Swiss Mathematical Society","","Eur. Math. Soc., Zurich.","","0010-2571","N","Y","N","N","N"
"Comment. Math. Univ. Carolin.","Commentationes Mathematicae Universitatis Carolinae","","Charles Univ., Prague.","","0010-2628","N","Y","N","N","N"
"Comment. Math. Univ. St. Pauli","Commentarii Mathematici Universitatis Sancti Pauli","","Rikkyo Univ., Tokyo.","","0010-258X","N","Y","N","N","N"
"Commun. Anal. Theory Contin. Fract.","Communications in the Analytic Theory of Continued Fractions","","Mesa State Coll., Grand Junction, CO.","Continued as Commun. Anal. Theory Contin. Fract.","","N","N","N","N","N"
"Commun. Anal. Theory Contin. Fract.","Communications in the Analytic Theory of Continued Fractions","","Colorado Mesa Univ., Grand Junction, CO.","Formerly Commun. Anal. Theory Contin. Fract.","","Y","N","N","N","N"
"Commun. Appl. Anal.","Communications in Applied Analysis. An International Journal for Theory and Applications","","Dynamic, Atlanta, GA.","","1083-2564","N","Y","N","N","N"
"Commun. Appl. Ind. Math.","Communications in Applied and Industrial Mathematics","","SIMAI, Rome.","","2038-0909","Y","N","N","N","N"
"Commun. Appl. Math. Comput.","Communication on Applied Mathematics and Computation. Yingyong Shuxue yu Jisuan Shuxue Xuebao","","Commun. Appl. Math. Comput., Ed. Board, Shanghai.","","1006-6330","N","N","N","N","N"
"Commun. Appl. Math. Comput. Sci.","Communications in Applied Mathematics and Computational Science","","Math. Sci. Publ., Berkeley, CA.","","","N","Y","N","N","N"
"Commun. Comput. Inf. Sci.","Communications in Computer and Information Science","","Springer, Berlin.","","1865-0929","N","N","Y","N","N"
"Commun. Comput. Phys.","Communications in Computational Physics","","Glob. Sci. Pr., Hong Kong.","","1815-2406","N","N","N","N","N"
"Commun. Contemp. Math.","Communications in Contemporary Mathematics","","World Sci. Publ., Singapore.","","0219-1997","N","Y","N","N","N"
"Commun. Fac. Sci. Univ. Ank. Ser. A1 Math. Stat.","Communications de la Faculte des Sciences de l'Universite d'Ankara. Series A1. Mathematics and Statistics. Communications. Faculty of Sciences. University of Ankara","","Ankara Univ., Fac. Sci., Ankara.","","1303-5991","N","N","N","N","N"
"Commun. Inf. Syst.","Communications in Information and Systems","","Int. Press, Somerville, MA.","","1526-7555","N","N","N","N","N"
"Commun. Korean Math. Soc.","Korean Mathematical Society. Communications","","Korean Math. Soc., Seoul.","","1225-1763","N","Y","N","N","N"
"Commun. Math.","Communications in Mathematics","","Univ. Ostrava, Ostrava.","Formerly Acta Math. Univ. Ostrav.","1804-1388","Y","Y","N","N","N"
"Commun. Math. Anal.","Communications in Mathematical Analysis","","Communications in Mathematical Analysis, Washington, DC.","Continued as Commun. Math. Anal.","1938-9787","N","Y","N","N","N"
"Commun. Math. Anal.","Communications in Mathematical Analysis","","Math. Res. Publ., [s.l.].","Formerly Commun. Math. Anal.","1938-9787","Y","Y","N","N","N"
"Commun. Math. Appl.","Communications in Mathematics and Applications","","RGN Publications, Delhi.","","0976-5905","Y","N","N","N","N"
"Commun. Math. Res.","Communications in Mathematical Research","","Commun. Math. Res., Edit. Comm., Changchun.","","1674-5647","N","Y","N","N","N"
"Commun. Math. Sci.","Communications in Mathematical Sciences","","Int. Press, Somerville, MA.","","1539-6746","N","Y","N","N","N"
"Commun. Nonlinear Sci. Numer. Simul.","Communications in Nonlinear Science and Numerical Simulation","","Elsevier B. V., Amsterdam.","","1007-5704","N","N","N","N","N"
"Commun. Number Theory Phys.","Communications in Number Theory and Physics","","Int. Press, Somerville, MA.","","1931-4523","N","Y","N","N","N"
"Commun. Pure Appl. Anal.","Communications on Pure and Applied Analysis","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","","1534-0392","N","Y","N","N","N"
"Commun. Signal Process.","Communications and Signal Processing","","Imp. Coll. Press, London.","","","N","N","Y","N","N"
"Commun. Stoch. Anal.","Communications on Stochastic Analysis","","Ser. Publ., New Delhi.","","0973-9599","N","Y","N","N","N"
"Commun. Theor. Phys. (Beijing)","Communications in Theoretical Physics","","Chinese Phys. Soc., Beijing.","","0253-6102","N","N","N","N","N"
"COMPEL","COMPEL. The International Journal for Computation and Mathematics in Electrical and Electronic Engineering","","Emerald Group Publ, Ltd., Bingley.","","0332-1649","N","N","N","N","N"
"Complex Anal. Oper. Theory","Complex Analysis and Operator Theory","","Birkhauser, Basel.","","1661-8254","N","Y","N","N","N"
"Complex Syst. Interdiscip. Sci.","Complex Systems and Interdisciplinary Science","","World Sci. Publ., Hackensack, NJ.","","1793-4540","N","N","Y","N","N"
"Complex Systems","Complex Systems","","Complex Systems Publ., Champaign, IL.","","0891-2513","N","N","N","N","N"
"Complex Var. Elliptic Equ.","Complex Variables and Elliptic Equations. An International Journal","","Taylor & Francis, Abingdon.","","1747-6933","N","Y","N","N","N"
"Complexity","Complexity","","Wiley, Hoboken, NJ.","","1076-2787","N","N","N","N","N"
"Compos. Math.","Compositio Mathematica","","London Math. Soc., London.","","0010-437X","N","Y","N","N","N"
"Comput. Aided Geom. Design","Computer Aided Geometric Design","","Elsevier Sci. B. V., Amsterdam.","","0167-8396","N","Y","N","N","N"
"Comput. Appl. Math.","Computational & Applied Mathematics","","Soc. Brasil. Mat. Apl. Comput., Sao Carlos.","","1807-0302","N","Y","N","N","N"
"Comput. Assist. Mech. Eng. Sci.","Computer Assisted Mechanics and Engineering Sciences","","Polish Acad. Sci. Inst. Fundam. Technol. Res., Warsaw.","","1232-308X","N","N","N","N","N"
"Comput. Biol.","Computational Biology","","Springer, London.","","1568-2684","Y","N","Y","N","N"
"Comput. Biol. Chem.","Computational Biology and Chemistry","","Elsevier, Inc., Amsterdam.","","1476-9271","N","N","N","N","N"
"Comput. Complexity","Computational Complexity","","Birkhauser, Basel.","","1016-3328","N","Y","N","N","N"
"Comput. Exp. Methods Struct.","Computational and Experimental Methods in Structures","","Imp. Coll. Press, London.","","","Y","N","Y","N","N"
"Comput. & Fluids","Computers & Fluids. An International Journal","","Elsevier Sci. B. V., Amsterdam.","","0045-7930","N","N","N","N","N"
"Comput. Geom.","Computational Geometry. Theory and Applications","","Elsevier B. V., Amsterdam.","","0925-7721","N","Y","N","N","N"
"Comput. Geosci.","Computational Geosciences","","Springer, Dordrecht.","","1420-0597","N","N","N","N","N"
"Comput. Imaging Vision","Computational Imaging and Vision","","Springer, London.","","1381-6446","N","N","Y","N","N"
"Comput. Inform.","Computing and Informatics","","Slovak Acad. Sci., Bratislava.","","1335-9150","N","N","N","N","N"
"Comput. Intell.","Computational Intelligence. An International Journal","","Wiley-Blackwell, Malden, MA.","","0824-7935","N","N","N","N","N"
"Comput. Linguist.","Computational Linguistics","","MIT Press, Cambridge, MA.","","0891-2017","N","N","N","N","N"
"Comput. Manag. Sci.","Computational Management Science","","Springer, Heidelberg.","","1619-697X","N","N","N","N","N"
"Comput. Math. Appl.","Computers & Mathematics with Applications. An International Journal","","Elsevier Ltd, Oxford.","","0898-1221","N","Y","N","N","N"
"Comput. Math. Math. Phys.","Computational Mathematics and Mathematical Physics","","MAIK Nauka/Interperiod. Publ., Moscow.","Translation of Zh. Vychisl. Mat. Mat. Fiz.","0965-5425","N","N","N","N","N"
"Comput. Math. Methods Med.","Computational and Mathematical Methods in Medicine. An Interdisciplinary Journal of Mathematical, Theoretical and Clinical Aspects of Medicine","","Taylor & Francis, Abingdon.","Continued as Comput. Math. Methods Med.","1748-670X","N","N","N","N","N"
"Comput. Math. Methods Med.","Computational and Mathematical Methods in Medicine","","Hindawi Publ. Corp., New York.","Formerly Comput. Math. Methods Med.","1748-670X","Y","N","N","N","N"
"Comput. Math. Model.","Computational Mathematics and Modeling","","Springer, New York.","Selected translations of Russian language publications ","1046-283X","N","Y","N","N","N"
"Comput. Mech.","Computational Mechanics","","Springer, Berlin.","","0178-7675","N","N","N","N","N"
"Comput. Methods Appl. Math.","Computational Methods in Applied Mathematics","","Natl. Acad. Sci. Belarus Inst. Math., Minsk.","","1609-4840","N","N","N","N","N"
"Comput. Methods Appl. Mech. Engrg.","Computer Methods in Applied Mechanics and Engineering","","Elsevier Sci. B. V., Amsterdam.","","0045-7825","N","N","N","N","N"
"Comput. Methods Appl. Sci.","Computational Methods in Applied Sciences","","Springer, New York.","","1871-3033","N","N","Y","N","N"
"Comput. Methods Funct. Theory","Computational Methods and Function Theory","","Heldermann, Lemgo.","","1617-9447","N","Y","N","N","N"
